PRN Index,PRN VRAM,PRN Type,GPU Index
0,100,0,308
1,100,0,344
2,99,0,98
3,99,0,67
4,99,0,62
5,99,0,66
6,99,0,287
7,99,0,300
8,98,0,186
9,97,0,59
10,97,0,78
11,97,0,65
12,96,0,323
13,96,0,71
14,96,0,337
15,95,0,83
16,95,0,84
17,95,0,86
18,95,0,130
19,94,0,132
20,94,0,139
21,94,0,140
22,94,0,144
23,93,0,145
24,93,0,151
25,92,0,153
26,92,0,156
27,92,0,94
28,92,0,309
29,91,0,191
30,91,0,333
31,91,0,50
32,91,0,53
33,90,0,70
34,89,0,73
35,89,0,74
36,88,0,108
37,88,0,111
38,88,0,89
39,88,0,72
40,87,0,91
41,87,0,63
42,87,0,146
43,86,0,99
44,86,0,101
45,86,0,129
46,86,0,119
47,86,0,122
48,86,0,123
49,85,0,125
50,83,0,173
51,83,0,174
52,83,0,176
53,83,0,180
54,83,0,182
55,83,0,184
56,83,0,294
57,82,0,190
58,82,0,200
59,82,0,206
60,81,0,213
61,81,0,225
62,81,0,233
63,81,0,234
64,80,0,235
65,80,0,277
66,80,0,246
67,79,0,264
68,79,0,143
69,79,0,280
70,78,0,288
71,78,0,252
72,77,0,299
73,77,0,302
74,76,0,321
75,76,0,325
76,76,0,245
77,76,0,334
78,75,0,336
79,75,0,93
80,75,0,338
81,75,0,338
82,74,0,336
83,74,0,318
84,72,0,288
85,70,0,235
86,70,0,245
87,70,0,246
88,69,0,213
89,69,0,225
90,69,0,233
91,69,0,234
92,69,0,264
93,68,0,190
94,68,0,200
95,68,0,206
96,67,0,173
97,67,0,174
98,67,0,176
99,67,0,180
100,67,0,182
101,67,0,184
102,66,0,302
103,66,0,277
104,65,0,125
105,65,0,280
106,65,0,294
107,64,0,99
108,64,0,321
109,62,0,72
110,62,0,91
111,61,0,108
112,61,0,115
113,60,0,111
114,59,0,191
115,59,0,333
116,59,0,50
117,58,0,53
118,57,0,309
119,57,0,122
120,56,0,123
121,56,0,132
122,56,0,139
123,55,0,83
124,55,0,84
125,55,0,86
126,54,0,323
127,54,0,71
128,53,0,59
129,53,0,65
130,53,0,78
131,53,0,337
132,53,0,130
133,53,0,140
134,53,0,144
135,52,0,186
136,52,0,151
137,51,0,153
138,51,0,156
139,51,0,299
140,50,0,67
141,50,0,308
142,50,0,340
143,49,0,325
144,49,0,334
145,49,0,340
146,49,0,340
147,48,0,221
148,48,0,68
149,48,0,68
150,47,0,68
151,47,0,80
152,47,0,80
153,47,0,80
154,46,0,87
155,46,0,87
156,45,0,87
157,45,0,199
158,45,0,115
159,44,0,115
160,44,0,117
161,43,0,117
162,43,0,117
163,42,0,239
164,42,0,318
165,41,0,129
166,40,0,143
167,40,0,119
168,40,0,101
169,39,0,93
170,39,0,63
171,39,0,146
172,39,0,150
173,39,0,150
174,38,0,150
175,38,0,170
176,38,0,170
177,38,0,170
178,38,0,178
179,38,0,178
180,37,0,178
181,37,0,178
182,37,0,185
183,37,0,185
184,36,0,170
185,36,0,185
186,36,0,185
187,36,0,195
188,36,0,195
189,36,0,195
190,36,0,195
191,35,0,199
192,35,0,199
193,35,0,94
194,35,0,199
195,34,0,150
196,34,0,93
197,33,0,145
198,33,0,221
199,33,0,221
200,32,0,221
201,31,0,228
202,29,0,143
203,29,0,228
204,28,0,228
205,28,0,228
206,27,0,228
207,27,0,239
208,27,0,318
209,27,0,239
210,27,0,239
211,26,0,239
212,26,0,252
213,25,0,325
214,25,0,334
215,24,0,63
216,24,0,119
217,24,0,146
218,23,0,94
219,23,0,252
220,23,0,252
221,23,0,145
222,22,0,299
223,21,0,257
224,21,0,257
225,21,0,257
226,100,1,47
227,100,1,57
228,99,1,48
229,99,1,54
230,98,1,56
231,96,1,58
232,96,1,60
233,96,1,64
234,96,1,75
235,95,1,77
236,94,1,79
237,93,1,81
238,93,1,85
239,93,1,88
240,92,1,95
241,92,1,104
242,92,1,107
243,92,1,109
244,92,1,116
245,91,1,124
246,91,1,135
247,90,1,137
248,90,1,141
249,89,1,148
250,88,1,152
251,88,1,154
252,88,1,158
253,87,1,161
254,87,1,163
255,86,1,166
256,84,1,171
257,84,1,179
258,83,1,189
259,83,1,193
260,82,1,198
261,82,1,205
262,82,1,214
263,82,1,215
264,81,1,217
265,81,1,219
266,81,1,223
267,81,1,229
268,81,1,232
269,81,1,237
270,81,1,240
271,81,1,241
272,80,1,335
273,79,1,244
274,79,1,247
275,79,1,249
276,79,1,250
277,78,1,254
278,78,1,255
279,77,1,258
280,77,1,259
281,77,1,261
282,76,1,262
283,76,1,263
284,76,1,266
285,75,1,267
286,75,1,267
287,75,1,271
288,74,1,262
289,73,1,258
290,73,1,259
291,73,1,261
292,72,1,254
293,72,1,255
294,71,1,244
295,71,1,247
296,70,1,249
297,69,1,217
298,69,1,219
299,69,1,223
300,68,1,198
301,68,1,205
302,68,1,214
303,68,1,215
304,68,1,229
305,68,1,232
306,67,1,189
307,67,1,193
308,67,1,237
309,67,1,240
310,66,1,171
311,66,1,179
312,65,1,241
313,64,1,166
314,64,1,250
315,64,1,263
316,64,1,266
317,63,1,161
318,63,1,163
319,63,1,271
320,63,1,273
321,62,1,152
322,62,1,154
323,62,1,158
324,62,1,273
325,62,1,274
326,61,1,148
327,61,1,274
328,61,1,275
329,61,1,275
330,61,1,278
331,61,1,278
332,60,1,137
333,60,1,141
334,60,1,279
335,60,1,279
336,59,1,124
337,59,1,135
338,59,1,281
339,59,1,281
340,59,1,282
341,59,1,282
342,58,1,95
343,58,1,104
344,58,1,107
345,57,1,81
346,56,1,79
347,56,1,85
348,56,1,88
349,55,1,77
350,54,1,58
351,54,1,60
352,54,1,64
353,54,1,75
354,54,1,109
355,53,1,116
356,53,1,283
357,53,1,283
358,52,1,56
359,51,1,48
360,51,1,54
361,50,1,57
362,50,1,47
363,49,1,285
364,49,1,285
365,49,1,285
366,48,1,289
367,48,1,289
368,48,1,289
369,48,1,293
370,47,1,293
371,47,1,293
372,47,1,295
373,47,1,295
374,46,1,295
375,46,1,297
376,45,1,297
377,45,1,297
378,45,1,298
379,45,1,298
380,44,1,283
381,44,1,298
382,44,1,301
383,44,1,301
384,43,1,301
385,43,1,304
386,43,1,304
387,43,1,304
388,43,1,307
389,43,1,307
390,43,1,307
391,43,1,310
392,42,1,310
393,42,1,310
394,42,1,311
395,41,1,311
396,41,1,311
397,41,1,313
398,41,1,313
399,40,1,313
400,40,1,317
401,40,1,317
402,39,1,317
403,39,1,319
404,38,1,319
405,38,1,319
406,38,1,320
407,37,1,320
408,37,1,320
409,37,1,320
410,36,1,322
411,36,1,322
412,36,1,322
413,36,1,322
414,35,1,319
415,35,1,324
416,35,1,324
417,35,1,324
418,35,1,324
419,35,1,330
420,35,1,330
421,34,1,330
422,33,1,330
423,33,1,339
424,33,1,339
425,32,1,281
426,32,1,282
427,32,1,339
428,31,1,317
429,31,1,339
430,30,1,279
431,30,1,342
432,30,1,342
433,29,1,342
434,29,1,342
435,28,1,275
436,28,1,278
437,28,1,313
438,27,1,274
439,27,1,342
440,27,1,335
441,27,1,335
442,25,1,273
443,25,1,311
444,24,1,345
445,23,1,310
446,23,1,345
447,23,1,345
448,23,1,345
449,23,1,345
450,22,1,345
451,22,1,55
452,22,1,55
453,21,1,304
454,21,1,307
455,21,1,339
456,20,1,61
457,20,1,61
458,20,1,62
459,100,2,45
460,100,2,100
461,100,2,52
462,100,2,90
463,100,2,92
464,99,2,121
465,99,2,112
466,99,2,110
467,98,2,128
468,97,2,134
469,96,2,155
470,96,2,147
471,96,2,138
472,96,2,142
473,95,2,157
474,94,2,160
475,94,2,162
476,93,2,165
477,92,2,172
478,92,2,168
479,92,2,105
480,91,2,177
481,90,2,181
482,90,2,196
483,90,2,194
484,90,2,207
485,90,2,197
486,90,2,192
487,90,2,201
488,90,2,187
489,90,2,203
490,90,2,188
491,89,2,209
492,89,2,210
493,89,2,286
494,89,2,212
495,88,2,118
496,88,2,216
497,88,2,218
498,88,2,220
499,87,2,222
500,87,2,127
501,87,2,224
502,87,2,226
503,86,2,243
504,86,2,131
505,86,2,242
506,86,2,260
507,86,2,251
508,86,2,238
509,86,2,248
510,85,2,284
511,85,2,291
512,85,2,290
513,84,2,303
514,84,2,306
515,84,2,305
516,83,2,256
517,83,2,329
518,83,2,327
519,82,2,227
520,82,2,76
521,82,2,43
522,81,2,106
523,81,2,126
524,79,2,69
525,78,2,315
526,78,2,120
527,77,2,51
528,77,2,268
529,77,2,236
530,77,2,103
531,76,2,265
532,76,2,169
533,76,2,175
534,75,2,159
535,75,2,159
536,74,2,265
537,74,2,175
538,73,2,236
539,73,2,51
540,73,2,103
541,72,2,120
542,72,2,315
543,71,2,268
544,71,2,169
545,71,2,69
546,71,2,133
547,70,2,133
548,70,2,208
549,70,2,231
550,70,2,208
551,69,2,106
552,68,2,227
553,68,2,43
554,68,2,76
555,67,2,327
556,67,2,126
557,67,2,329
558,67,2,256
559,66,2,303
560,66,2,305
561,66,2,231
562,66,2,306
563,65,2,284
564,65,2,291
565,65,2,290
566,64,2,131
567,64,2,238
568,63,2,127
569,62,2,118
570,62,2,216
571,62,2,218
572,60,2,286
573,60,2,181
574,60,2,187
575,60,2,188
576,60,2,192
577,59,2,177
578,58,2,172
579,58,2,211
580,58,2,168
581,57,2,136
582,57,2,165
583,57,2,194
584,56,2,136
585,56,2,160
586,56,2,196
587,56,2,162
588,55,2,157
589,55,2,197
590,54,2,138
591,54,2,142
592,53,2,105
593,53,2,134
594,53,2,211
595,52,2,128
596,52,2,272
597,51,2,112
598,51,2,110
599,50,2,90
600,49,2,52
601,49,2,45
602,49,2,92
603,48,2,114
604,48,2,183
605,47,2,100
606,47,2,183
607,47,2,149
608,47,2,121
609,47,2,202
610,46,2,167
611,46,2,147
612,45,2,201
613,45,2,167
614,44,2,207
615,44,2,202
616,44,2,292
617,44,2,326
618,44,2,203
619,44,2,272
620,43,2,272
621,43,2,292
622,42,2,296
623,42,2,210
624,42,2,212
625,41,2,296
626,41,2,296
627,41,2,220
628,40,2,222
629,40,2,155
630,39,2,211
631,39,2,224
632,38,2,242
633,38,2,183
634,38,2,248
635,38,2,209
636,38,2,226
637,38,2,251
638,38,2,243
639,37,2,136
640,37,2,326
641,37,2,326
642,37,2,167
643,37,2,260
644,36,2,270
645,36,2,316
646,36,2,270
647,36,2,316
648,36,2,316
649,36,2,270
650,36,2,316
651,35,2,61
652,35,2,55
653,35,2,55
654,34,2,270
655,34,2,114
656,33,2,113
657,33,2,55
658,32,2,61
659,32,2,61
660,32,2,202
661,32,2,292
662,32,2,276
663,31,2,292
664,31,2,312
665,31,2,312
666,31,2,49
667,31,2,49
668,31,2,276
669,31,2,114
670,31,2,326
671,30,2,49
672,30,2,276
673,30,2,113
674,29,2,312
675,29,2,149
676,29,2,113
677,28,2,114
678,28,2,49
679,28,2,276
680,28,2,312
681,27,2,149
682,27,2,260
683,26,2,296
684,26,2,202
685,26,2,113
686,26,2,149
687,26,2,113
688,25,2,251
689,24,2,242
690,24,2,226
691,24,2,276
692,24,2,243
693,23,2,209
694,21,2,49
695,21,2,248
696,21,2,312
697,20,2,220
698,20,2,224
699,20,2,222
