PRN Index,PRN VRAM,PRN Type,GPU Index
476,117,6,0
477,116,6,0
478,112,6,0
479,112,6,0
351,82,4,1
368,59,4,1
369,59,4,1
377,45,4,1
373,53,4,1
358,75,4,1
370,58,4,1
372,57,4,1
206,67,2,2
168,140,2,2
186,106,2,2
200,74,2,2
211,53,2,2
319,113,4,3
320,113,4,3
321,112,4,3
365,63,4,3
333,96,4,3
236,120,3,4
224,134,3,4
278,67,3,4
271,74,3,4
406,112,5,5
421,92,5,5
414,106,5,5
426,87,5,5
417,97,5,5
416,106,5,6
418,97,5,6
407,110,5,6
425,88,5,6
454,53,5,6
457,46,5,6
350,83,4,7
359,73,4,7
341,89,4,7
366,62,4,7
375,50,4,7
379,44,4,7
378,45,4,7
376,49,4,7
180,117,2,8
209,59,2,8
215,47,2,8
199,75,2,8
176,128,2,8
210,55,2,8
303,132,4,9
304,130,4,9
305,130,4,9
352,81,4,9
245,107,3,10
272,72,3,10
256,98,3,10
279,65,3,10
259,94,3,10
413,108,5,11
402,115,5,11
451,55,5,11
449,58,5,11
435,74,5,11
458,46,5,11
459,44,5,11
403,114,5,12
404,113,5,12
429,82,5,12
432,78,5,12
460,44,5,12
452,54,5,12
335,94,4,13
336,92,4,13
337,92,4,13
343,88,4,13
360,67,4,13
508,73,6,14
509,73,6,14
510,70,6,14
511,68,6,14
513,65,6,14
514,65,6,14
515,61,6,14
468,127,6,15
469,123,6,15
470,123,6,15
471,123,6,15
3,137,0,16
4,136,0,16
63,65,0,16
58,73,0,16
48,83,0,16
10,130,0,17
11,129,0,17
7,133,0,17
36,99,0,17
13,125,0,18
14,125,0,18
6,135,0,18
30,104,0,18
171,137,2,19
172,136,2,19
181,113,2,19
189,101,2,19
516,60,6,20
517,58,6,20
518,58,6,20
519,58,6,20
522,56,6,20
523,54,6,20
524,52,6,20
525,51,6,20
526,51,6,20
190,90,2,21
175,131,2,21
191,89,2,21
178,123,2,21
208,63,2,21
187,103,2,22
198,76,2,22
188,102,2,22
207,67,2,22
197,79,2,22
204,71,2,22
60,69,0,23
61,68,0,23
43,90,0,23
33,100,0,23
76,46,0,23
26,107,0,23
322,110,4,24
323,109,4,24
325,107,4,24
326,105,4,24
382,42,4,24
480,110,6,25
481,110,6,25
482,108,6,25
483,106,6,25
512,66,6,25
9,132,0,26
68,55,0,26
69,54,0,26
64,60,0,26
65,56,0,26
8,132,0,26
386,134,5,27
423,90,5,27
427,85,5,27
422,91,5,27
436,74,5,27
472,121,6,28
473,121,6,28
474,120,6,28
475,118,6,28
75,48,0,29
79,43,0,29
80,43,0,29
19,119,0,29
66,55,0,29
67,55,0,29
2,137,0,29
527,51,6,30
528,50,6,30
529,48,6,30
530,46,6,30
531,46,6,30
532,45,6,30
533,44,6,30
534,44,6,30
537,40,6,30
535,43,6,30
536,42,6,30
31,103,0,31
32,102,0,31
44,86,0,31
34,100,0,31
25,107,0,31
129,91,1,32
100,126,1,32
139,79,1,32
135,89,1,32
165,43,1,32
151,65,1,32
120,106,1,33
161,54,1,33
148,69,1,33
132,90,1,33
155,59,1,33
112,113,1,33
78,46,0,34
53,77,0,34
17,120,0,34
29,105,0,34
5,136,0,34
244,109,3,35
222,138,3,35
254,99,3,35
250,102,3,35
291,41,3,35
388,129,5,36
419,94,5,36
431,80,5,36
438,73,5,36
448,59,5,36
153,62,1,37
157,56,1,37
104,122,1,37
105,121,1,37
89,137,1,37
329,100,4,38
330,99,4,38
334,95,4,38
317,115,4,38
339,91,4,38
490,91,6,39
491,90,6,39
492,90,6,39
493,86,6,39
494,86,6,39
520,56,6,39
131,90,1,40
111,114,1,40
117,108,1,40
128,93,1,40
133,90,1,40
495,85,6,41
497,83,6,41
498,81,6,41
499,80,6,41
500,78,6,41
501,76,6,41
253,100,3,42
264,86,3,42
233,123,3,42
280,64,3,42
274,68,3,42
290,45,3,42
332,97,4,43
355,78,4,43
338,91,4,43
344,87,4,43
367,62,4,43
364,63,4,43
252,101,3,44
266,82,3,44
238,118,3,44
285,56,3,44
293,40,3,44
277,67,3,44
248,105,3,45
258,96,3,45
251,102,3,45
255,98,3,45
289,46,3,45
288,46,3,45
15,123,0,46
54,77,0,46
56,75,0,46
72,50,0,46
73,50,0,46
18,120,0,46
196,82,2,47
203,72,2,47
183,112,2,47
184,111,2,47
179,120,2,47
125,95,1,48
146,70,1,48
142,76,1,48
116,112,1,48
141,76,1,48
147,69,1,48
154,60,1,49
158,55,1,49
92,135,1,49
93,135,1,49
110,114,1,49
390,127,5,50
391,127,5,50
400,117,5,50
392,124,5,50
38,98,0,51
47,84,0,51
23,114,0,51
74,49,0,51
77,46,0,51
49,81,0,51
230,126,3,52
243,111,3,52
270,75,3,52
265,85,3,52
263,86,3,52
59,70,0,53
35,99,0,53
24,112,0,53
37,98,0,53
52,80,0,53
84,40,0,53
134,89,1,54
