Instance,Initial Solution,Best Solution,Temperature,Iterations,Execution Time,Enhanced
dog_1,161,129,0.01,1000000,30.47,False
dog_2,150,124,0.01,1000000,30.85,False
dog_3,242,242,0.01,1000000,47.18,False
dog_4,243,243,0.01,1000000,47.57,False
dog_5,292,292,0.01,1000000,53.97,False
dog_6,286,286,0.01,1000000,52.99,False
dog_7,16,15,0.01,1000000,53.98,False
dog_8,18,17,0.01,1000000,57.02,False
dog_9,54,54,0.01,1000000,30.59,False
dog_10,107,101,0.01,1000000,37.49,False
dog_1,161,154,0.5,1000000,31.49,False
dog_2,150,150,0.5,1000000,31.40,False
dog_3,242,242,0.5,1000000,48.64,False
dog_4,243,243,0.5,1000000,48.47,False
dog_5,292,292,0.5,1000000,57.62,False
dog_6,286,286,0.5,1000000,55.90,False
dog_7,16,15,0.5,1000000,54.33,False
dog_8,18,17,0.5,1000000,56.76,False
dog_9,54,53,0.5,1000000,30.38,False
dog_10,107,103,0.5,1000000,38.19,False
dog_1,161,161,1,1000000,30.86,False
dog_2,150,150,1,1000000,30.82,False
dog_3,242,242,1,1000000,50.60,False
dog_4,243,243,1,1000000,48.24,False
dog_5,292,292,1,1000000,56.46,False
dog_6,286,286,1,1000000,55.24,False
dog_7,16,15,1,1000000,52.67,False
dog_8,18,17,1,1000000,55.79,False
dog_9,54,54,1,1000000,30.52,False
dog_10,107,106,1,1000000,37.73,False
dog_1,161,161,5,1000000,30.76,False
dog_2,150,150,5,1000000,31.09,False
dog_3,242,242,5,1000000,49.60,False
dog_4,243,243,5,1000000,47.98,False
dog_5,292,292,5,1000000,56.31,False
dog_6,286,286,5,1000000,55.40,False
dog_7,16,15,5,1000000,53.09,False
dog_8,18,17,5,1000000,56.08,False
dog_9,54,54,5,1000000,31.11,False
dog_10,107,107,5,1000000,38.60,False
