Instance,Initial Solution,Best Solution,Temperature,Iterations,Execution Time,Enhanced
dog_1,118,118,0.01,1000000,30.06,True
dog_2,122,122,0.01,1000000,30.13,True
dog_3,241,241,0.01,1000000,46.50,True
dog_4,242,242,0.01,1000000,46.27,True
dog_5,290,290,0.01,1000000,53.88,True
dog_6,284,284,0.01,1000000,52.48,True
dog_7,14,14,0.01,1000000,50.41,True
dog_8,16,16,0.01,1000000,56.45,True
dog_9,51,51,0.01,1000000,29.62,True
dog_10,102,101,0.01,1000000,36.93,True
dog_1,118,118,0.5,1000000,30.74,True
dog_2,122,122,0.5,1000000,30.56,True
dog_3,241,241,0.5,1000000,48.61,True
dog_4,242,242,0.5,1000000,48.18,True
dog_5,290,290,0.5,1000000,56.32,True
dog_6,284,284,0.5,1000000,54.93,True
dog_7,14,14,0.5,1000000,52.82,True
dog_8,16,16,0.5,1000000,56.22,True
dog_9,51,51,0.5,1000000,31.41,True
dog_10,102,102,0.5,1000000,37.60,True
dog_1,118,118,1,1000000,30.53,True
dog_2,122,122,1,1000000,31.11,True
dog_3,241,241,1,1000000,47.59,True
dog_4,242,242,1,1000000,46.53,True
dog_5,290,290,1,1000000,56.38,True
dog_6,284,284,1,1000000,56.00,True
dog_7,14,14,1,1000000,54.21,True
dog_8,16,16,1,1000000,56.45,True
dog_9,51,51,1,1000000,30.48,True
dog_10,102,102,1,1000000,37.81,True
dog_1,118,118,5,1000000,31.17,True
dog_2,122,122,5,1000000,30.69,True
dog_3,241,241,5,1000000,50.16,True
dog_4,242,242,5,1000000,48.78,True
dog_5,290,290,5,1000000,57.99,True
dog_6,284,284,5,1000000,58.29,True
dog_7,14,14,5,1000000,53.42,True
dog_8,16,16,5,1000000,54.72,True
dog_9,51,51,5,1000000,30.66,True
dog_10,102,102,5,1000000,37.76,True
dog_1,118,118,10,1000000,30.84,True
dog_2,122,122,10,1000000,30.53,True
dog_3,241,241,10,1000000,49.51,True
dog_4,242,242,10,1000000,47.89,True
dog_5,290,290,10,1000000,56.65,True
dog_6,284,284,10,1000000,55.70,True
dog_7,14,14,10,1000000,52.90,True
dog_8,16,16,10,1000000,55.21,True
dog_9,51,51,10,1000000,30.93,True
dog_10,102,102,10,1000000,38.34,True
