PRN Index,PRN VRAM,PRN Type,GPU Index
308,5,73,0
275,3,66,1
276,2,66,1
277,2,66,1
290,2,69,1
289,3,69,1
254,2,59,2
255,2,59,2
253,3,59,2
259,3,61,2
260,2,61,2
217,2,50,3
215,5,50,3
216,2,50,3
218,2,51,3
196,5,45,4
197,4,45,4
198,3,45,4
187,5,43,5
188,4,43,5
189,3,43,5
60,2,12,6
58,3,12,6
67,3,13,6
68,2,13,6
69,2,13,6
180,2,40,7
177,4,40,7
178,3,40,7
179,3,40,7
261,3,62,8
262,3,62,8
263,5,63,8
195,2,44,9
194,3,44,9
199,3,45,9
200,2,45,9
201,2,45,9
287,2,68,10
283,3,68,10
285,3,68,10
96,2,19,11
95,3,19,11
105,3,21,11
106,2,21,11
138,2,30,11
32,4,8,12
36,2,8,12
35,3,8,12
33,3,8,12
239,4,56,13
243,2,56,13
240,4,56,13
244,2,56,13
61,2,12,14
56,3,12,14
63,2,12,14
59,2,12,14
57,3,12,14
175,3,39,15
173,5,39,15
174,4,39,15
233,4,55,16
237,2,55,16
235,3,55,16
236,2,55,16
241,3,56,17
242,3,56,17
249,2,57,17
247,4,57,17
101,3,20,18
102,2,20,18
103,2,20,18
100,3,20,18
104,2,20,18
323,5,78,19
324,3,78,19
325,2,78,19
326,2,78,19
55,2,11,20
50,5,11,20
53,2,11,20
62,2,12,20
64,5,13,21
66,3,13,21
65,4,13,21
70,5,14,22
71,4,14,22
75,3,14,22
142,3,31,23
143,3,31,23
144,3,31,23
141,3,31,23
22,2,5,24
20,4,5,24
24,3,6,24
25,3,6,24
99,3,20,25
97,5,20,25
98,4,20,25
306,5,73,26
307,5,73,26
309,2,73,26
232,5,55,27
238,2,55,27
234,3,55,27
2,3,0,28
0,5,0,28
3,2,1,28
4,2,1,28
1,5,0,29
5,2,1,29
11,2,2,29
7,3,2,29
110,4,23,30
111,2,23,30
112,2,23,30
113,2,23,30
114,2,23,30
16,2,4,31
17,2,4,31
18,2,4,31
19,2,4,31
21,3,5,31
211,3,48,32
210,3,48,32
227,2,53,32
226,4,53,32
219,2,51,33
220,2,51,33
224,3,52,33
222,5,52,33
310,5,74,34
311,3,74,34
315,2,76,34
316,2,76,34
158,2,34,35
157,2,34,35
156,5,34,35
160,3,35,35
270,5,64,36
272,2,64,36
269,5,64,36
153,4,33,37
152,5,33,37
154,3,33,37
203,3,46,38
202,5,46,38
204,2,46,38
209,2,47,38
161,5,36,39
162,5,36,39
163,2,36,39
26,3,6,40
28,2,6,40
23,5,6,40
27,2,6,40
109,2,22,41
108,3,22,41
107,4,22,41
126,3,27,41
115,4,24,42
116,3,24,42
117,2,24,42
118,2,24,42
268,2,63,43
266,2,63,43
267,2,63,43
264,3,63,43
265,3,63,43
129,3,28,44
132,3,29,44
131,4,29,44
176,2,39,44
321,3,77,45
318,5,77,45
322,2,77,45
183,2,41,46
184,2,41,46
181,2,41,46
182,2,41,46
185,2,42,46
186,2,42,46
293,3,70,47
292,3,70,47
294,3,70,47
295,3,70,47
248,2,57,48
245,5,57,48
246,5,57,48
319,4,77,49
320,3,77,49
317,5,77,49
300,4,71,50
303,2,71,50
301,3,71,50
302,3,71,50
223,4,52,51
225,2,52,51
221,5,52,51
9,2,2,52
6,4,2,52
8,3,2,52
10,2,2,52
124,5,27,53
125,5,27,53
127,2,27,53
133,5,30,54
136,3,30,54
139,2,30,54
140,2,30,54
331,2,79,55
329,4,79,55
330,3,79,55
72,3,14,56
73,3,14,56
74,3,14,56
82,2,15,56
88,3,17,57
93,3,18,57
91,3,18,57
92,3,18,57
89,5,18,58
90,5,18,58
94,2,18,58
87,3,17,59
86,4,17,59
85,5,17,59
166,5,38,60
168,4,38,60
169,3,38,60
146,5,32,61
147,2,32,61
148,2,32,61
150,2,32,61
190,3,43,62
192,2,43,62
191,2,43,62
193,2,43,62
159,4,35,63
165,2,37,63
164,5,37,63
304,3,72,64
305,2,72,64
333,5,80,64
335,2,80,64
205,5,47,65
206,3,47,65
207,2,47,65
208,2,47,65
280,2,67,66
278,4,67,66
281,2,67,66
279,2,67,66
334,5,80,67
332,5,80,67
12,2,3,68
13,2,3,68
14,5,4,68
15,3,4,68
167,4,38,69
171,2,38,69
172,2,38,69
170,3,38,69
213,3,49,70
212,4,49,70
214,2,49,70
271,3,64,70
145,5,32,71
151,2,32,71
149,2,32,71
155,3,33,71
296,3,70,72
297,2,70,72
298,2,70,72
291,4,70,72
282,5,68,73
284,3,68,73
286,2,68,73
288,2,68,73
29,3,7,74
30,3,7,74
31,5,8,74
37,2,8,75
34,3,8,75
40,3,9,75
45,2,9,75
43,2,9,75
273,4,65,76
274,2,65,76
299,5,71,76
38,4,9,77
44,2,9,77
39,4,9,77
42,2,9,77
47,3,10,78
52,3,11,78
51,4,11,78
54,2,11,78
134,5,30,79
137,3,30,79
135,4,30,79
79,3,15,80
77,3,15,80
76,5,15,80
122,4,26,81
123,2,26,81
121,5,26,81
314,3,75,82
312,4,75,82
313,3,75,82
81,2,15,83
78,3,15,83
80,2,15,83
83,2,16,83
84,2,16,83
120,2,25,84
119,4,25,84
128,4,28,84
130,2,28,84
251,2,58,85
252,2,58,85
250,4,58,85
328,2,78,85
327,2,78,85
41,3,9,86
48,2,10,86
49,2,10,86
46,5,10,86
228,3,54,87
231,3,54,87
229,3,54,87
230,3,54,87
257,3,60,88
256,4,60,88
258,3,60,88
