Initial Solution: 54
Best Solution: 54
Temperature: 0.01
Iterations: 1000000
Execution Time: 26.259326219558716
PRN Index,PRN VRAM,PRN Type,GPU Index
0,138,0,0
1,135,0,0
2,133,0,0
21,93,0,0
3,129,0,1
4,128,0,1
5,126,0,1
8,115,0,1
6,119,0,2
7,118,0,2
9,113,0,2
10,113,0,2
11,111,0,3
12,110,0,3
13,109,0,3
14,109,0,3
42,59,0,3
15,108,0,4
16,106,0,4
17,101,0,4
18,100,0,4
27,82,0,4
19,99,0,5
20,95,0,5
22,91,0,5
23,90,0,5
24,90,0,5
25,87,0,6
26,86,0,6
28,82,0,6
29,81,0,6
30,80,0,6
31,80,0,6
32,74,0,7
33,72,0,7
34,69,0,7
35,69,0,7
36,67,0,7
37,65,0,7
38,64,0,7
39,64,0,8
40,63,0,8
41,63,0,8
43,57,0,8
44,57,0,8
45,57,0,8
46,56,0,8
47,54,0,8
48,52,0,9
49,51,0,9
50,51,0,9
51,45,0,9
52,43,0,9
53,41,0,9
54,140,1,9
95,76,1,9
55,138,1,10
56,137,1,10
57,137,1,10
87,87,1,10
58,136,1,11
59,136,1,11
60,133,1,11
81,94,1,11
61,132,1,12
62,130,1,12
63,123,1,12
69,113,1,12
64,122,1,13
65,120,1,13
66,118,1,13
67,116,1,13
68,116,1,14
70,112,1,14
71,110,1,14
72,110,1,14
113,49,1,14
73,107,1,15
74,107,1,15
75,105,1,15
76,105,1,15
96,76,1,15
77,103,1,16
78,100,1,16
79,98,1,16
80,98,1,16
82,94,1,16
83,93,1,17
84,92,1,17
85,89,1,17
86,89,1,17
88,87,1,17
114,47,1,17
89,83,1,18
90,82,1,18
91,81,1,18
92,79,1,18
93,79,1,18
94,78,1,18
97,73,1,19
98,73,1,19
99,72,1,19
100,71,1,19
101,71,1,19
102,70,1,19
103,69,1,19
104,67,1,20
105,63,1,20
106,63,1,20
107,62,1,20
108,58,1,20
109,57,1,20
110,57,1,20
111,54,1,20
112,53,1,21
115,46,1,21
116,41,1,21
117,41,1,21
118,41,1,21
119,138,2,21
120,138,2,21
121,137,2,22
122,131,2,22
123,130,2,22
140,102,2,22
124,126,2,23
125,125,2,23
126,125,2,23
127,124,2,23
128,121,2,24
129,121,2,24
130,120,2,24
131,119,2,24
132,119,2,25
133,114,2,25
134,113,2,25
135,112,2,25
170,41,2,25
136,111,2,26
137,109,2,26
138,105,2,26
139,103,2,26
160,69,2,26
141,102,2,27
142,102,2,27
143,98,2,27
144,97,2,27
145,94,2,27
146,94,2,28
147,94,2,28
148,89,2,28
149,89,2,28
150,89,2,28
167,45,2,28
151,87,2,29
152,87,2,29
153,86,2,29
154,86,2,29
155,86,2,29
161,63,2,29
156,84,2,30
157,84,2,30
158,83,2,30
159,78,2,30
162,57,2,30
163,57,2,30
164,56,2,30
165,56,2,31
166,51,2,31
168,45,2,31
169,43,2,31
171,41,2,31
172,40,2,31
173,138,3,31
200,86,3,31
174,137,3,32
175,135,3,32
176,127,3,32
192,101,3,32
177,122,3,33
178,122,3,33
179,119,3,33
180,119,3,33
181,118,3,34
182,116,3,34
183,115,3,34
184,113,3,34
185,110,3,35
186,109,3,35
187,108,3,35
188,108,3,35
213,60,3,35
189,105,3,36
190,103,3,36
191,102,3,36
193,100,3,36
197,90,3,36
194,100,3,37
195,96,3,37
196,91,3,37
198,89,3,37
199,88,3,37
201,85,3,38
202,83,3,38
203,79,3,38
204,78,3,38
205,78,3,38
206,78,3,38
207,77,3,39
208,76,3,39
209,72,3,39
210,70,3,39
211,69,3,39
212,66,3,39
214,59,3,39
215,53,3,40
216,53,3,40
217,50,3,40
218,48,3,40
219,42,3,40
220,133,4,40
229,118,4,40
221,133,4,41
222,132,4,41
223,131,4,41
236,103,4,41
224,128,4,42
225,127,4,42
226,125,4,42
230,117,4,42
227,124,4,43
228,122,4,43
231,117,4,43
232,117,4,43
233,114,4,44
234,112,4,44
235,106,4,44
237,102,4,44
258,63,4,44
238,99,4,45
239,98,4,45
240,96,4,45
241,91,4,45
242,89,4,45
243,89,4,46
244,88,4,46
245,88,4,46
246,86,4,46
247,84,4,46
259,61,4,46
248,81,4,47
249,79,4,47
250,76,4,47
251,76,4,47
252,74,4,47
253,74,4,47
254,74,4,48
255,73,4,48
256,71,4,48
257,69,4,48
260,58,4,48
261,56,4,48
262,55,4,48
266,43,4,48
263,53,4,49
264,49,4,49
265,46,4,49
267,41,4,49
268,41,4,49
